
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.59622e+01 | std:  8.49456e+01 | min: -4.28250e+02 | max:  1.27688e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.72744e-02 | std:  1.88048e+00 | min: -2.63125e+01 | max:  3.38438e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -2.19995e+01 | std:  2.94274e+01 | min: -1.60500e+02 | max:  3.63750e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.75709e-02 | std:  2.43333e+00 | min: -2.79219e+01 | max:  4.36250e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -2.58397e+01 | std:  4.13893e+01 | min: -2.41750e+02 | max:  5.38750e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  2.62656e+00 | std:  1.22104e+01 | min: -2.47200e+01 | max:  5.99243e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -5.39677e+00 | std:  1.37541e+01 | min: -6.37687e+01 | max:  2.61549e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -5.68378e+00 | std:  6.82270e+01 | min: -1.20062e+02 | max:  1.17438e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.19715e+02 | std:  7.90651e+01 | min:  1.40391e+01 | max:  2.54125e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.23523e-01 | std:  4.89712e+00 | min: -2.55312e+01 | max:  2.97500e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.07665e+00 | std:  2.44934e+01 | min: -7.96875e+01 | max:  7.05000e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  5.76036e-02 | std:  5.34226e+00 | min: -4.20625e+01 | max:  2.99688e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -2.66528e-01 | std:  5.60794e+00 | min: -2.39219e+01 | max:  1.90312e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  1.93432e-02 | std:  3.82132e-01 | min: -4.77734e+00 | max:  3.46875e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -3.03313e-01 | std:  1.44675e+00 | min: -8.17969e+00 | max:  4.18750e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  1.95788e+00 | std:  5.79616e+00 | min: -5.90312e+01 | max:  5.91875e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -2.36090e+01 | std:  3.24716e+01 | min: -1.90125e+02 | max:  3.74688e+01
xlstm.layers.0.mlstm.Wo.weight           | mean: -7.65021e-02 | std:  7.36664e+00 | min: -8.45625e+01 | max:  8.36250e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -6.40477e+00 | std:  1.13622e+01 | min: -8.16250e+01 | max:  1.21406e+01
xlstm.layers.1.slstm.layer_norm.weight   | mean: -1.15601e+01 | std:  3.05005e+01 | min: -1.75114e+02 | max:  8.45967e+01
