
[Gradient Statistics for Epoch 1]
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  3.44796e-01 | std:  1.34523e+01 | min: -1.05375e+02 | max:  1.02188e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  1.58745e+00 | std:  3.05295e+01 | min: -9.37500e+01 | max:  1.05938e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -2.29008e-01 | std:  1.62861e+01 | min: -1.22438e+02 | max:  1.17688e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -5.97445e-01 | std:  2.07811e+01 | min: -1.08625e+02 | max:  1.02375e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -7.55449e-02 | std:  1.98724e+00 | min: -2.37812e+01 | max:  2.16094e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -3.20577e-01 | std:  4.33435e+00 | min: -2.17812e+01 | max:  2.16250e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.06540e+01 | std:  5.71519e+01 | min: -4.10000e+02 | max:  3.14750e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.82805e+01 | std:  1.37713e+02 | min: -4.97250e+02 | max:  5.05750e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.00494e+00 | std:  5.31927e+01 | min: -3.12250e+02 | max:  3.45500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.06602e+01 | std:  6.32609e+01 | min: -2.41375e+02 | max:  2.58750e+02
classifier.weight                        | mean:  4.66705e-03 | std:  6.86953e+02 | min: -3.27400e+03 | max:  3.37200e+03
classifier.bias                          | mean: -8.93750e-02 | std:  3.50243e+03 | min: -8.61600e+03 | max:  6.61200e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.00873e+02 | std:  1.93926e+02 | min: -6.19776e+02 | max:  2.80679e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -7.03765e+01 | std:  1.60163e+02 | min: -3.54712e+02 | max:  3.82671e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -4.46379e+02 | std:  1.95672e+03 | min: -3.29200e+03 | max:  2.65600e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.63680e+03 | std:  2.78563e+03 | min: -5.70800e+03 | max:  1.74200e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  9.19724e+00 | std:  6.61536e+02 | min: -5.03200e+03 | max:  6.18000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  9.01474e+01 | std:  9.84895e+02 | min: -3.25000e+03 | max:  5.22000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.44730e+01 | std:  9.25316e+01 | min: -5.90500e+02 | max:  6.18000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -3.38446e+01 | std:  1.23437e+02 | min: -4.74250e+02 | max:  4.85500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.64071e+01 | std:  8.29654e+01 | min: -9.90000e+02 | max:  5.03750e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.80353e+01 | std:  1.09365e+02 | min: -5.95500e+02 | max:  3.00000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -3.32452e+00 | std:  1.14947e+02 | min: -7.13500e+02 | max:  5.75000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.93951e+01 | std:  1.30546e+02 | min: -5.14500e+02 | max:  4.12000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -2.35263e-01 | std:  1.92418e+02 | min: -3.35800e+03 | max:  2.76800e+03
