
[Gradient Statistics for Epoch 1]
xlstm.layers.0.mlstm.Wf.bias             | mean: -9.65038e+01 | std:  1.45423e+02 | min: -6.10500e+02 | max:  2.17250e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -4.55655e+00 | std:  7.39667e+01 | min: -4.86750e+02 | max:  5.51500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -5.16382e+01 | std:  7.89760e+01 | min: -3.46500e+02 | max:  1.13562e+02
classifier.weight                        | mean: -4.38145e-03 | std:  8.32181e+02 | min: -4.21600e+03 | max:  3.81400e+03
classifier.bias                          | mean:  1.07143e-02 | std:  3.56616e+03 | min: -8.64000e+03 | max:  6.94800e+03

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.07702e+02 | std:  2.33498e+02 | min: -1.03482e+03 | max:  4.66094e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.08952e+02 | std:  2.33003e+02 | min: -5.79929e+02 | max:  9.17479e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  6.66652e+02 | std:  2.12379e+03 | min: -2.93600e+03 | max:  4.41200e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.72571e+03 | std:  3.11009e+03 | min: -6.80800e+03 | max:  3.30000e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.94147e+00 | std:  6.97241e+02 | min: -9.22400e+03 | max:  5.28400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  7.13978e-01 | std:  8.99937e+02 | min: -2.49800e+03 | max:  4.58800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.38727e+01 | std:  1.08160e+02 | min: -8.65000e+02 | max:  8.34500e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.51080e+01 | std:  2.06426e+02 | min: -6.79500e+02 | max:  6.90000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.59898e+01 | std:  9.29729e+01 | min: -9.64000e+02 | max:  5.57000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.28959e+01 | std:  1.80788e+02 | min: -8.53000e+02 | max:  4.56500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.80178e+00 | std:  1.41572e+02 | min: -6.51500e+02 | max:  8.38000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.17824e+01 | std:  1.89297e+02 | min: -7.53000e+02 | max:  5.68000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.84857e-01 | std:  1.87270e+02 | min: -2.28200e+03 | max:  2.28400e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean:  7.13978e-01 | std:  8.99937e+02 | min: -2.49800e+03 | max:  4.58800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -2.20192e-01 | std:  4.30240e+01 | min: -3.03750e+02 | max:  2.78000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.51080e+01 | std:  2.06426e+02 | min: -6.79500e+02 | max:  6.90000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -2.84444e-01 | std:  3.80909e+01 | min: -3.38500e+02 | max:  3.15250e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -6.28959e+01 | std:  1.80788e+02 | min: -8.53000e+02 | max:  4.56500e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -1.72540e-01 | std:  4.02827e+01 | min: -2.33500e+02 | max:  2.28500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.17824e+01 | std:  1.89297e+02 | min: -7.53000e+02 | max:  5.68000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.00583e+02 | std:  2.13252e+02 | min: -1.21950e+03 | max:  6.16581e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  8.72682e+01 | std:  1.73848e+02 | min: -4.20924e+02 | max:  7.21123e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.41250e+02 | std:  1.74497e+03 | min: -2.91000e+03 | max:  3.45400e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.63257e+03 | std:  3.75282e+03 | min: -7.83600e+03 | max:  3.33400e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.11448e+00 | std:  3.36006e+01 | min: -4.16250e+02 | max:  1.89500e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  3.46187e+00 | std:  6.07715e+01 | min: -3.46750e+02 | max:  1.67375e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -3.68424e-01 | std:  4.10644e+01 | min: -4.54500e+02 | max:  2.74750e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -3.33520e+00 | std:  5.69075e+01 | min: -2.47875e+02 | max:  1.83625e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -9.83912e-01 | std:  6.56281e+00 | min: -6.34375e+01 | max:  6.96875e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.86780e+00 | std:  1.17313e+01 | min: -6.66875e+01 | max:  5.94062e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.67425e+01 | std:  1.12479e+02 | min: -9.11500e+02 | max:  6.85000e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -7.84852e+01 | std:  2.19372e+02 | min: -1.08300e+03 | max:  6.03000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  1.16385e+00 | std:  9.23257e+01 | min: -5.62000e+02 | max:  7.52500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -4.77329e+01 | std:  1.21349e+02 | min: -6.01000e+02 | max:  3.55500e+02
classifier.weight                        | mean:  3.09564e-03 | std:  9.43410e+02 | min: -5.99600e+03 | max:  6.12800e+03
classifier.bias                          | mean: -3.43750e-02 | std:  3.75635e+03 | min: -1.14800e+04 | max:  7.44800e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.05251e+02 | std:  2.24378e+02 | min: -8.65943e+02 | max:  4.90345e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.14914e+02 | std:  1.89342e+02 | min: -3.97535e+02 | max:  6.14335e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  6.97756e+02 | std:  1.76057e+03 | min: -1.79300e+03 | max:  4.37600e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.77693e+03 | std:  2.46210e+03 | min: -6.00400e+03 | max:  1.15500e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.04152e+01 | std:  7.33536e+02 | min: -1.18800e+04 | max:  8.64800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  6.15187e+01 | std:  8.78145e+02 | min: -2.82600e+03 | max:  4.50400e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.85447e+01 | std:  1.01062e+02 | min: -4.58750e+02 | max:  5.70000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -6.11996e+01 | std:  1.67214e+02 | min: -6.14000e+02 | max:  5.02250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -2.15750e+01 | std:  9.63557e+01 | min: -5.87000e+02 | max:  5.71000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -7.05405e+01 | std:  1.62429e+02 | min: -8.44000e+02 | max:  4.47250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -3.77213e+00 | std:  1.42672e+02 | min: -7.63000e+02 | max:  7.11000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.62162e+01 | std:  1.70211e+02 | min: -8.81000e+02 | max:  6.21000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.05707e+00 | std:  2.21994e+02 | min: -2.36400e+03 | max:  2.89600e+03
