
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.84782e+00 | std:  1.77390e+01 | min: -4.16486e+01 | max:  5.08318e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.20620e+01 | std:  1.74603e+01 | min: -2.12742e+01 | max:  3.55478e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.99032e+01 | std:  7.66742e+01 | min: -1.01188e+02 | max:  1.13125e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  7.41333e+02 | std:  1.08701e+03 | min: -5.10000e+02 | max:  1.45200e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  2.35593e+01 | std:  1.18312e+03 | min: -5.14800e+03 | max:  6.70800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.24476e+02 | std:  1.53532e+03 | min: -4.84000e+03 | max:  5.11200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  2.00053e+00 | std:  3.50174e+01 | min: -1.23625e+02 | max:  1.40750e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -9.57230e+00 | std:  1.54397e+02 | min: -5.65500e+02 | max:  5.12000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.10577e+01 | std:  6.48193e+01 | min: -2.53625e+02 | max:  2.32375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.99387e+01 | std:  2.85562e+02 | min: -9.50000e+02 | max:  1.06600e+03
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.83065e+00 | std:  1.63437e+02 | min: -1.09000e+03 | max:  9.56500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.80802e+01 | std:  2.22637e+02 | min: -5.45500e+02 | max:  8.38500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -2.01705e+01 | std:  6.16422e+02 | min: -3.38400e+03 | max:  3.50200e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -1.24476e+02 | std:  1.53532e+03 | min: -4.84000e+03 | max:  5.11200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.23160e+00 | std:  5.86429e+01 | min: -4.10250e+02 | max:  2.96500e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -9.57230e+00 | std:  1.54397e+02 | min: -5.65500e+02 | max:  5.12000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.23681e+00 | std:  1.02920e+02 | min: -5.41500e+02 | max:  6.88000e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.99387e+01 | std:  2.85562e+02 | min: -9.50000e+02 | max:  1.06600e+03
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.01408e+00 | std:  8.37954e+01 | min: -5.96500e+02 | max:  6.31500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -1.80802e+01 | std:  2.22637e+02 | min: -5.45500e+02 | max:  8.38500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -7.84519e+01 | std:  1.28199e+02 | min: -3.90981e+02 | max:  3.08015e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  6.90214e+01 | std:  1.57838e+02 | min: -4.64658e+02 | max:  3.45040e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.22222e+02 | std:  1.14162e+03 | min: -1.02000e+03 | max:  2.23400e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.06100e+03 | std:  4.42899e+03 | min: -6.03600e+03 | max:  2.02900e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  4.50583e+00 | std:  9.14119e+01 | min: -4.60250e+02 | max:  5.56000e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  8.20941e+00 | std:  1.21149e+02 | min: -2.55000e+02 | max:  4.99250e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -7.68425e+00 | std:  2.75445e+02 | min: -2.01700e+03 | max:  2.23400e+03
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.69703e+01 | std:  3.38062e+02 | min: -8.85500e+02 | max:  1.46200e+03
xlstm.layers.0.mlstm.Wi.weight           | mean: -5.43095e+00 | std:  3.62085e+01 | min: -3.11250e+02 | max:  1.58875e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -9.61885e+00 | std:  4.74863e+01 | min: -2.37625e+02 | max:  1.13812e+02
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.89024e+01 | std:  1.66403e+02 | min: -1.44900e+03 | max:  1.09400e+03
xlstm.layers.0.mlstm.Wf.bias             | mean: -3.52166e+01 | std:  2.20723e+02 | min: -8.36000e+02 | max:  6.66500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  1.78353e+00 | std:  1.60143e+02 | min: -9.83500e+02 | max:  9.06500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.38625e+01 | std:  2.25649e+02 | min: -5.41500e+02 | max:  8.68000e+02
classifier.weight                        | mean: -7.41679e-03 | std:  9.83036e+02 | min: -4.96800e+03 | max:  4.31600e+03
classifier.bias                          | mean: -5.62500e-02 | std:  2.20979e+03 | min: -5.42000e+03 | max:  3.20000e+03

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -7.90332e-01 | std:  2.11900e+01 | min: -7.15493e+01 | max:  8.60956e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -5.43240e+00 | std:  1.34888e+01 | min: -3.54553e+01 | max:  1.60237e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  9.31293e+00 | std:  5.26001e+01 | min: -7.47500e+01 | max:  8.39375e+01
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.93042e+02 | std:  8.12360e+02 | min: -1.18200e+03 | max:  4.10750e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  4.57901e+01 | std:  1.37905e+03 | min: -6.39600e+03 | max:  9.20000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -6.55010e+01 | std:  1.99004e+03 | min: -7.86000e+03 | max:  4.24400e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -2.57017e+00 | std:  4.45965e+01 | min: -1.39375e+02 | max:  1.28000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean:  1.10402e+01 | std:  1.91734e+02 | min: -5.23500e+02 | max:  5.71500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -2.73193e+00 | std:  9.27889e+01 | min: -2.77500e+02 | max:  2.66750e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean:  1.19035e+01 | std:  3.98934e+02 | min: -1.07600e+03 | max:  1.10600e+03
xlstm.layers.0.slstm.Wo.block.weight     | mean:  2.81312e+00 | std:  1.81044e+02 | min: -8.20500e+02 | max:  7.84500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean:  2.34425e+01 | std:  2.76582e+02 | min: -7.94000e+02 | max:  7.04000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  7.33303e+00 | std:  8.14126e+02 | min: -6.60400e+03 | max:  4.25600e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -6.55010e+01 | std:  1.99004e+03 | min: -7.86000e+03 | max:  4.24400e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.07590e+00 | std:  7.35659e+01 | min: -3.37250e+02 | max:  2.92750e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean:  1.10402e+01 | std:  1.91734e+02 | min: -5.23500e+02 | max:  5.71500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.48864e+00 | std:  1.39048e+02 | min: -5.79000e+02 | max:  1.00350e+03
xlstm.layers.0.slstm.Rf.block.bias       | mean:  1.19035e+01 | std:  3.98934e+02 | min: -1.07600e+03 | max:  1.10600e+03
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.34659e+00 | std:  9.90149e+01 | min: -4.10000e+02 | max:  3.97500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean:  2.34425e+01 | std:  2.76582e+02 | min: -7.94000e+02 | max:  7.04000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -6.42540e+01 | std:  2.19953e+02 | min: -6.40217e+02 | max:  3.91303e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.37068e+00 | std:  1.99749e+02 | min: -5.70042e+02 | max:  5.32575e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.81944e-01 | std:  8.06828e+02 | min: -1.08700e+03 | max:  1.31300e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.37250e+02 | std:  1.14916e+03 | min: -7.65000e+02 | max:  1.43100e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  3.62450e+00 | std:  1.81759e+02 | min: -7.22000e+02 | max:  2.34600e+03
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  4.07046e+00 | std:  2.09308e+02 | min: -4.66250e+02 | max:  1.64900e+03
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  5.11646e+00 | std:  4.64649e+02 | min: -4.11600e+03 | max:  4.60800e+03
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -6.80234e+01 | std:  5.83385e+02 | min: -1.84500e+03 | max:  2.36400e+03
xlstm.layers.0.mlstm.Wi.weight           | mean: -6.43624e+00 | std:  5.27918e+01 | min: -2.66000e+02 | max:  3.37750e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -8.78115e+00 | std:  6.00001e+01 | min: -1.66875e+02 | max:  2.56000e+02
xlstm.layers.0.mlstm.Wf.weight           | mean:  4.41413e+00 | std:  1.95551e+02 | min: -8.18000e+02 | max:  7.91500e+02
xlstm.layers.0.mlstm.Wf.bias             | mean:  7.73699e+00 | std:  2.35063e+02 | min: -5.85000e+02 | max:  5.52500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  6.55205e+00 | std:  1.79662e+02 | min: -6.93500e+02 | max:  7.51000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean:  1.71649e+01 | std:  2.94936e+02 | min: -9.07500e+02 | max:  7.59500e+02
classifier.weight                        | mean:  1.62516e-02 | std:  9.40637e+02 | min: -4.18000e+03 | max:  4.12400e+03
classifier.bias                          | mean:  1.54167e-01 | std:  2.69496e+03 | min: -5.56800e+03 | max:  4.63200e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.33123e+00 | std:  2.95953e+01 | min: -6.90638e+01 | max:  5.31035e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.77740e+01 | std:  1.94186e+01 | min: -1.52539e+01 | max:  4.97802e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -5.47934e+01 | std:  7.46051e+01 | min: -1.49875e+02 | max:  7.46250e+01
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  8.81167e+02 | std:  1.09169e+03 | min: -3.58500e+02 | max:  1.69900e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  7.55254e+01 | std:  1.18719e+03 | min: -5.04800e+03 | max:  6.82000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.21364e+02 | std:  1.78560e+03 | min: -5.89600e+03 | max:  5.49600e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -4.04571e+00 | std:  4.01925e+01 | min: -1.42750e+02 | max:  1.05062e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean:  1.68392e+01 | std:  1.68962e+02 | min: -4.26250e+02 | max:  5.49500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.49657e+01 | std:  9.19342e+01 | min: -2.15625e+02 | max:  3.95250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.32530e+01 | std:  3.87257e+02 | min: -1.60500e+03 | max:  8.62000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  3.43172e+00 | std:  1.71755e+02 | min: -7.80500e+02 | max:  7.05500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.15581e+00 | std:  2.47057e+02 | min: -7.18000e+02 | max:  6.89000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.67499e+01 | std:  7.34683e+02 | min: -5.70000e+03 | max:  4.45600e+03
